>>>>> Detector image results analysis <<<<<

imgs/imgsDB/carsgraz_103.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.66377
imgs/imgsDB/carsgraz_321.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.990329
imgs/imgsDB/carsgraz_262.image.png -> Precision: 0.111111 | Recall: 0.0190959 | Accuracy: 0.851582
imgs/imgsDB/carsgraz_317.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.952835
imgs/imgsDB/carsgraz_207.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.985407
imgs/imgsDB/carsgraz_214.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.957077
imgs/imgsDB/carsgraz_178.image.png -> Precision: 0.555675 | Recall: 0.312115 | Accuracy: 0.909248
imgs/imgsDB/carsgraz_181.image.png -> Precision: 0.227571 | Recall: 0.117634 | Accuracy: 0.903923
imgs/imgsDB/carsgraz_137.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.953555
imgs/imgsDB/carsgraz_226.image.png -> Precision: 0.263622 | Recall: 0.0527906 | Accuracy: 0.866755
imgs/imgsDB/carsgraz_395.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.923346
imgs/imgsDB/carsgraz_145.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.808877
imgs/imgsDB/carsgraz_284.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.679854
imgs/imgsDB/carsgraz_254.image.png -> Precision: 0.885152 | Recall: 0.670964 | Accuracy: 0.901966
imgs/imgsDB/carsgraz_159.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.834824
imgs/imgsDB/carsgraz_002.image.png -> Precision: 0.0148483 | Recall: 0.258347 | Accuracy: 0.926771
imgs/imgsDB/carsgraz_007.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.890221
imgs/imgsDB/carsgraz_350.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.96084
